time_hours,rem_score,rem_detected,eog_std,eog_range,theta_delta_ratio_ch0,theta_delta_ratio_ch1,alpha_power,beta_power
0.004166666666666667,3.419567805946911,1,2.181500476603868e-05,0.00016372967032967034,0.08291285869741337,0.011769340477348017,1.254402537217785e-12,3.949299398908293e-13
0.008333333333333333,-0.6107329332606553,0,1.5202977180796523e-05,0.00011453663003663002,0.06306387960392358,0.008795326307460223,9.815273156561083e-13,4.494092643288447e-13
0.0125,0.6368483402306628,0,1.7440171596049957e-05,0.0001518095238095238,0.05284801953038452,0.01335781339942138,2.100367586262674e-12,1.3459996880154556e-12
0.016666666666666666,1.1099034159220973,0,2.111148459579025e-05,0.00015804542124542124,0.0463040469407988,0.013754778357046122,2.2853434272467207e-12,1.5134535803097336e-12
0.020833333333333332,-0.8114394504432474,0,2.032894275043751e-05,0.0001433794871794872,0.024982837763982073,0.012831734952362932,4.544335749797734e-12,6.202222206968863e-13
0.025,-1.0438935623237755,0,1.714765761744032e-05,0.00013006117216117215,0.021624419832647398,0.022712313560289295,6.558508717335803e-12,4.593483148916315e-13
0.029166666666666667,-1.4798321543117596,0,1.3616172091316078e-05,8.941978021978023e-05,0.031919363992212645,0.030424732378136313,6.030476997310474e-12,3.4104988007196367e-13
0.03333333333333333,0.6001722931786473,0,1.332423691502197e-05,8.133186813186813e-05,0.04622738106198447,0.046632403733810834,5.771324078879624e-12,3.1921800298818843e-13
0.0375,3.575947852705339,1,1.3323890626110897e-05,0.00011058791208791208,0.06555530454521846,0.05738072861976092,5.0491168807134185e-12,3.019027168854025e-13
0.041666666666666664,6.400229635747494,1,1.6457234001133136e-05,0.00012684432234432233,0.13137342847127398,0.0339640855385168,3.3086775268269518e-12,3.9764530059153874e-13
0.04583333333333333,3.011143324506631,1,1.716095988043178e-05,0.00011388827838827838,0.12035452666923402,0.0070001538019820305,1.3239841846715375e-12,3.797603562285306e-13
0.05,0.5715009529153394,0,1.9541538742329185e-05,0.00013943553113553113,0.058756935205456454,0.008464702931474489,2.131276563087245e-12,1.0991485040395801e-12
0.05416666666666667,1.2154517003279248,0,2.11462731172724e-05,0.0001475930402930403,0.05986829431458697,0.009133389710434184,2.4324048474114308e-12,1.3648538601029723e-12
0.058333333333333334,1.2074102653822063,0,2.074282946507663e-05,0.00014746227106227105,0.0626642024717789,0.008040385220304426,1.3169311917911658e-12,6.213511358895587e-13
0.0625,0.5619176404364481,0,2.1082009543081422e-05,0.0001526007326007326,0.0481203090903908,0.008336319420417865,9.358208602009307e-13,3.747287639164259e-13
0.06666666666666667,0.8597769814602886,0,1.743206716657088e-05,0.00014547106227106227,0.06564321705959168,0.009347276081713426,1.024719131185331e-12,3.753901307506371e-13
0.07083333333333333,0.5526276952223714,0,1.3843253565299054e-05,0.00011565128205128205,0.08441649731296891,0.009744012909073925,1.27432262077713e-12,4.022960488737509e-13
0.075,-1.566521657631083,0,1.3171272103539451e-05,0.00010701391941391941,0.057088476445436936,0.008561753171263264,1.1549710860487034e-12,5.24428805555486e-13
0.07916666666666666,-0.27456330493138503,0,1.7529739034903134e-05,0.00014472234432234433,0.04484039113523597,0.010689348883561541,1.3126300411270142e-12,7.327423802423411e-13
0.08333333333333333,-0.048009635402681994,0,2.0834037923092693e-05,0.00014866080586080588,0.037348236495710764,0.010442538449585455,1.435740219449022e-12,6.200301261517026e-13
0.0875,-0.6248823184627325,0,1.9894110404813892e-05,0.00013753479853479854,0.037418616634286396,0.009339500990905678,1.4516043594447217e-12,5.720106489895678e-13
0.09166666666666666,1.565346398610965,1,2.262202361187705e-05,0.00017401391941391942,0.04085060902165787,0.014486351029146992,1.5904786589571113e-12,6.822480346520839e-13
0.09583333333333334,1.38788201313407,0,2.1349386649242573e-05,0.00016763736263736262,0.050823504706148756,0.010444219039392471,1.3556973253627854e-12,6.898619831421731e-13
0.1,-0.6924229626400604,0,1.6082894703874362e-05,0.00012000402930402931,0.056736217316253335,0.008682958287786922,1.1552373549779848e-12,5.82707648123801e-13
0.10416666666666667,1.5209568795661563,1,1.979343962747539e-05,0.00014513150183150184,0.06611035644020069,0.011732907159714201,1.3589264846616155e-12,5.33909779324209e-13
0.10833333333333334,1.435878580165368,1,2.0469793057764787e-05,0.00014733882783882785,0.05936852647001608,0.013237462532413667,1.4121034159242932e-12,5.55658496151007e-13
0.1125,0.479025432439378,0,1.7338999851063084e-05,0.00013404505494505494,0.05957202978568919,0.012833552915455576,1.1190331665103636e-12,5.165228888965835e-13
0.11666666666666667,-1.0346245899120923,0,1.536907728916916e-05,0.00013346923076923078,0.04282704042879454,0.011368021890728896,8.399666559363408e-13,4.1932851346644366e-13
0.12083333333333333,-2.779403760644679,0,1.221875471745243e-05,0.00011990805860805861,0.0335872299272055,0.008716478707542077,6.204290629839577e-13,3.2813121057343146e-13
0.125,-1.721093252119089,0,1.5115569048065267e-05,0.00012112014652014653,0.039966950053949325,0.010032879546507471,1.1449137542149416e-12,4.5428120303801865e-13
0.12916666666666668,-1.630403326621307,0,1.5235559660500009e-05,0.00011750989010989011,0.042347318088278935,0.010321630527554837,1.2736136828913095e-12,5.134697803738682e-13
0.13333333333333333,-3.1929063117797307,0,1.2747611691152617e-05,0.00010063699633699634,0.0361851822011787,0.007353677004682797,8.918828272476618e-13,3.4374275585198035e-13
0.1375,-2.285832795081329,0,1.3222116216707817e-05,0.00010148131868131868,0.04492596709366247,0.010294931279695281,1.0497310503941592e-12,3.9873098607255806e-13
0.14166666666666666,-2.2200139636709086,0,1.3890633718405593e-05,0.000100607326007326,0.0436357135379315,0.010820649315794817,1.1092984932774023e-12,4.720495649045333e-13
0.14583333333333334,-0.35537362518979615,0,1.7242755795488862e-05,0.00012817289377289377,0.05125667846802036,0.011192751420574373,1.5341833377942402e-12,6.656571869199507e-13
0.15,0.28974353758112376,0,1.8622146199279173e-05,0.0001321113553113553,0.05636644455951382,0.010976302853776309,1.4694092296613238e-12,5.849370486111608e-13
0.15416666666666667,-1.009471927478832,0,1.6161051974940048e-05,0.00011605164835164835,0.04677440153081348,0.012805236122459604,1.215941956651909e-12,3.943284803187414e-13
0.15833333333333333,-2.67452692397001,0,1.2264781706124332e-05,9.535384615384615e-05,0.04064029912473706,0.012597164433535996,1.0169418251725473e-12,4.933380893027879e-13
0.1625,-2.732650505199141,0,1.1809119457367431e-05,9.821794871794871e-05,0.04359268762256817,0.0100524249940692,1.015920838054119e-12,5.983293921862322e-13
0.16666666666666666,-2.983281181577603,0,1.1044561874818922e-05,9.668241758241757e-05,0.04251440256171811,0.009988629719656913,9.514345450208646e-13,4.523952219552649e-13
0.17083333333333334,-2.7674189762476713,0,1.3138335489820776e-05,0.00012751025641025642,0.024271142022783312,0.010848715032222792,8.537667705310444e-13,3.597223431325075e-13
0.175,-2.5834065483438255,0,1.351650353464168e-05,0.00012751025641025642,0.02476172772712845,0.011789215144871286,8.660686575719487e-13,3.033178326237522e-13
